term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0002275,"myeloid cell activation involved in immune response",0.016%,null,null,3.299,-16.3468,0.699,0.938,2274,1
GO:0036230,"granulocyte activation",0.009%,null,null,3.086,-16.3354,0.785,0.863,2274,1
GO:0032103,"positive regulation of response to external stimulus",0.055%,null,null,3.845,-7.5670,0.471,0.851,2274,1
GO:0002263,"cell activation involved in immune response",0.043%,null,null,3.737,-15.8570,0.687,0.890,2274,1
GO:0002768,"immune response-regulating cell surface receptor signaling pathway",0.039%,null,null,3.704,-4.1580,0.502,0.959,2274,1
GO:0045055,"regulated exocytosis",0.049%,null,null,3.795,-12.8697,0.869,0.764,2274,1
GO:0002757,"immune response-activating signal transduction",0.066%,null,null,3.925,-8.4647,0.400,0.943,2274,1
GO:0002283,"neutrophil activation involved in immune response",0.006%,null,null,2.899,-15.5654,0.713,0.974,2274,1
GO:0048870,"cell motility",0.633%,null,null,4.910,-3.9957,0.806,0.923,2274,1
GO:0002758,"innate immune response-activating signal transduction",0.032%,null,null,3.610,-5.7959,0.417,0.978,2274,1
GO:0071621,"granulocyte chemotaxis",0.019%,null,null,3.390,-4.9666,0.621,0.970,2274,1
GO:0002764,"immune response-regulating signaling pathway",0.069%,null,null,3.948,-10.2069,0.493,0.872,2274,1
GO:0002761,"regulation of myeloid leukocyte differentiation",0.021%,null,null,3.438,-5.2069,0.526,0.911,2274,1
GO:0060326,"cell chemotaxis",0.060%,null,null,3.888,-5.7167,0.681,0.833,2274,1
GO:0040017,"positive regulation of locomotion",0.087%,null,null,4.048,-5.0531,0.533,0.926,2274,1
GO:0043312,"neutrophil degranulation",0.006%,null,null,2.867,-15.4449,0.686,0.970,2274,1
GO:0006955,"immune response",0.337%,null,null,4.635,-6.7423,0.717,0.871,2274,1
GO:0043299,"leukocyte degranulation",0.014%,null,null,3.252,-16.2749,0.761,0.602,2274,1
GO:0006935,"chemotaxis",0.475%,null,null,4.785,-4.4802,0.735,0.816,2274,1
GO:0030595,"leukocyte chemotaxis",0.037%,null,null,3.681,-6.5513,0.607,0.717,2274,1
GO:0030593,"neutrophil chemotaxis",0.015%,null,null,3.272,-4.8356,0.626,0.886,2274,1
GO:0016477,"cell migration",0.293%,null,null,4.575,-4.7399,0.817,0.813,2274,1
GO:0009048,"dosage compensation by inactivation of X chromosome",0.001%,-3.791,-0.519,2.283,-4.0227,0.747,0.175,9048,0
GO:0098657,"import into cell",0.015%, 0.902, 4.762,3.288,-7.1261,0.961,0.215,98657,0
GO:0050684,"regulation of mRNA processing",0.035%,-7.114,-0.643,3.651,-5.5735,0.680,0.220,50684,0
GO:0061014,"positive regulation of mRNA catabolic process",0.007%,null,null,2.954,-4.0768,0.581,0.881,50684,1
GO:0010506,"regulation of autophagy",0.072%,-4.507,-5.738,3.964,-5.0000,0.717,0.234,10506,0
GO:0030155,"regulation of cell adhesion",0.129%,-4.206,-4.397,4.219,-6.4895,0.708,0.247,30155,0
GO:0007162,"negative regulation of cell adhesion",0.044%,null,null,3.754,-5.0434,0.662,0.721,30155,1
GO:0022407,"regulation of cell-cell adhesion",0.072%,null,null,3.964,-4.1051,0.709,0.888,30155,1
GO:0051270,"regulation of cellular component movement",0.169%,-4.309, 0.168,4.337,-7.1018,0.625,0.254,51270,0
GO:0050764,"regulation of phagocytosis",0.013%,null,null,3.229,-4.7122,0.651,0.639,51270,1
GO:0030100,"regulation of endocytosis",0.046%,null,null,3.774,-4.0964,0.627,0.812,51270,1
GO:0051050,"positive regulation of transport",0.186%,null,null,4.378,-5.3820,0.516,0.848,51270,1
GO:0051049,"regulation of transport",0.529%,null,null,4.832,-5.5003,0.630,0.841,51270,1
GO:0040008,"regulation of growth",0.172%,-4.472,-3.063,4.343,-4.7122,0.706,0.254,40008,0
GO:0001558,"regulation of cell growth",0.094%,null,null,4.080,-4.0292,0.645,0.860,40008,1
GO:0040012,"regulation of locomotion",0.183%,-4.770,-3.857,4.372,-6.8268,0.658,0.256,40012,0
GO:0042127,"regulation of cell proliferation",0.313%,-5.400,-5.730,4.603,-4.0074,0.679,0.270,42127,0
GO:0006897,"endocytosis",0.235%, 0.235, 5.041,4.480,-6.8861,0.939,0.271,6897,0
GO:0048878,"chemical homeostasis",0.543%,-5.261,-4.750,4.843,-6.8182,0.677,0.272,48878,0
GO:0055082,"cellular chemical homeostasis",0.376%,null,null,4.683,-4.7959,0.658,0.746,48878,1
GO:0055080,"cation homeostasis",0.378%,null,null,4.685,-4.0367,0.683,0.978,48878,1
GO:0042592,"homeostatic process",1.661%,null,null,5.329,-4.4921,0.647,0.702,48878,1
GO:0050801,"ion homeostasis",0.434%,null,null,4.746,-4.5031,0.679,0.941,48878,1
GO:0098771,"inorganic ion homeostasis",0.410%,null,null,4.721,-4.0655,0.681,0.949,48878,1
GO:0044093,"positive regulation of molecular function",0.890%,-5.836,-5.131,5.058,-13.6882,0.632,0.287,44093,0
GO:0050790,"regulation of catalytic activity",1.575%,null,null,5.306,-10.5918,0.613,0.899,44093,1
GO:0051338,"regulation of transferase activity",0.368%,null,null,4.674,-5.7100,0.656,0.773,44093,1
GO:0043085,"positive regulation of catalytic activity",0.818%,null,null,5.021,-11.0155,0.629,0.837,44093,1
GO:0051336,"regulation of hydrolase activity",0.855%,null,null,5.040,-6.9355,0.632,0.854,44093,1
GO:0043087,"regulation of GTPase activity",0.510%,null,null,4.816,-6.7986,0.646,0.798,44093,1
GO:0051347,"positive regulation of transferase activity",0.188%,null,null,4.382,-5.1864,0.660,0.845,44093,1
GO:0051345,"positive regulation of hydrolase activity",0.559%,null,null,4.856,-6.7328,0.639,0.937,44093,1
GO:0044092,"negative regulation of molecular function",0.462%,null,null,4.773,-5.1537,0.651,0.790,44093,1
GO:0043547,"positive regulation of GTPase activity",0.470%,null,null,4.780,-6.2573,0.643,0.921,44093,1
GO:0051090,"regulation of sequence-specific DNA binding transcription factor activity",0.085%,null,null,4.035,-5.0620,0.628,0.676,44093,1
GO:0090630,"activation of GTPase activity",0.020%,null,null,3.420,-4.0737,0.714,0.604,44093,1
GO:0051239,"regulation of multicellular organismal process",0.628%,-6.204,-5.290,4.906,-8.7011,0.624,0.290,51239,0
GO:0001816,"cytokine production",0.120%,null,null,4.187,-4.6308,0.870,0.619,51239,1
GO:0032879,"regulation of localization",0.726%,-4.731,-0.465,4.969,-8.5686,0.650,0.295,32879,0
GO:0008214,"protein dealkylation",0.019%,-3.581, 5.316,3.378,-5.6840,0.892,0.302,8214,0
GO:0031325,"positive regulation of cellular metabolic process",1.004%,-6.883,-2.604,5.110,-21.5638,0.445,0.306,31325,0
GO:0001934,"positive regulation of protein phosphorylation",0.227%,null,null,4.465,-7.7190,0.433,0.930,31325,1
GO:0042534,"regulation of tumor necrosis factor biosynthetic process",0.003%,null,null,2.593,-4.1518,0.614,0.903,31325,1
GO:0048522,"positive regulation of cellular process",1.585%,null,null,5.308,-19.6799,0.469,0.914,31325,1
GO:0045862,"positive regulation of proteolysis",0.078%,null,null,4.000,-4.5031,0.498,0.767,31325,1
GO:0032270,"positive regulation of cellular protein metabolic process",0.445%,null,null,4.756,-10.3010,0.438,0.900,31325,1
GO:0010720,"positive regulation of cell development",0.087%,null,null,4.047,-4.1062,0.494,0.934,31325,1
GO:0032760,"positive regulation of tumor necrosis factor production",0.010%,null,null,3.110,-4.4214,0.557,0.963,31325,1
GO:1902680,"positive regulation of RNA biosynthetic process",0.521%,null,null,4.825,-12.3401,0.459,0.989,31325,1
GO:0031331,"positive regulation of cellular catabolic process",0.058%,null,null,3.870,-6.4685,0.537,0.888,31325,1
GO:0031329,"regulation of cellular catabolic process",0.093%,null,null,4.078,-5.3215,0.661,0.918,31325,1
GO:0031328,"positive regulation of cellular biosynthetic process",0.670%,null,null,4.934,-10.9469,0.457,0.967,31325,1
GO:0031334,"positive regulation of protein complex assembly",0.123%,null,null,4.198,-5.1267,0.510,0.864,31325,1
GO:0051247,"positive regulation of protein metabolic process",0.463%,null,null,4.774,-12.7696,0.451,0.904,31325,1
GO:0051241,"negative regulation of multicellular organismal process",0.211%,null,null,4.432,-6.6696,0.565,0.842,31325,1
GO:0031346,"positive regulation of cell projection organization",0.056%,null,null,3.855,-4.8761,0.525,0.863,31325,1
GO:0051240,"positive regulation of multicellular organismal process",0.303%,null,null,4.589,-8.5901,0.475,0.765,31325,1
GO:0051254,"positive regulation of RNA metabolic process",0.535%,null,null,4.837,-13.4535,0.460,0.969,31325,1
GO:0045937,"positive regulation of phosphate metabolic process",0.282%,null,null,4.559,-8.2403,0.456,0.985,31325,1
GO:0045935,"positive regulation of nucleobase-containing compound metabolic process",0.600%,null,null,4.886,-10.8633,0.461,0.954,31325,1
GO:0010638,"positive regulation of organelle organization",0.205%,null,null,4.420,-6.5391,0.501,0.756,31325,1
GO:0010628,"positive regulation of gene expression",0.653%,null,null,4.923,-11.0325,0.465,0.936,31325,1
GO:0045893,"positive regulation of transcription, DNA-templated",0.519%,null,null,4.823,-13.4647,0.459,0.915,31325,1
GO:0010604,"positive regulation of macromolecule metabolic process",0.988%,null,null,5.103,-19.9547,0.450,0.979,31325,1
GO:0043065,"positive regulation of apoptotic process",0.105%,null,null,4.130,-5.5143,0.535,0.906,31325,1
GO:0043067,"regulation of programmed cell death",0.322%,null,null,4.616,-5.4001,0.650,0.983,31325,1
GO:0043068,"positive regulation of programmed cell death",0.109%,null,null,4.144,-5.8477,0.534,0.990,31325,1
GO:0042108,"positive regulation of cytokine biosynthetic process",0.011%,null,null,3.137,-4.4828,0.492,0.841,31325,1
GO:0045944,"positive regulation of transcription from RNA polymerase II promoter",0.369%,null,null,4.675,-10.5719,0.469,0.964,31325,1
GO:0050770,"regulation of axonogenesis",0.033%,null,null,3.625,-5.0991,0.569,0.784,31325,1
GO:0050769,"positive regulation of neurogenesis",0.073%,null,null,3.973,-4.4802,0.468,0.924,31325,1
GO:0050767,"regulation of neurogenesis",0.146%,null,null,4.272,-5.7471,0.568,0.875,31325,1
GO:0001819,"positive regulation of cytokine production",0.070%,null,null,3.955,-5.1669,0.509,0.954,31325,1
GO:0001817,"regulation of cytokine production",0.108%,null,null,4.141,-7.3768,0.624,0.798,31325,1
GO:0001818,"negative regulation of cytokine production",0.038%,null,null,3.683,-5.6596,0.599,0.913,31325,1
GO:0010557,"positive regulation of macromolecule biosynthetic process",0.633%,null,null,4.909,-10.2518,0.463,0.986,31325,1
GO:0032930,"positive regulation of superoxide anion generation",0.002%,null,null,2.301,-4.1681,0.622,0.815,31325,1
GO:0044089,"positive regulation of cellular component biogenesis",0.193%,null,null,4.394,-4.5272,0.529,0.733,31325,1
GO:0050707,"regulation of cytokine secretion",0.030%,null,null,3.583,-4.4134,0.595,0.899,31325,1
GO:0031401,"positive regulation of protein modification process",0.303%,null,null,4.589,-9.1385,0.442,0.954,31325,1
GO:2000026,"regulation of multicellular organismal development",0.416%,null,null,4.728,-6.3778,0.562,0.893,31325,1
GO:0010975,"regulation of neuron projection development",0.081%,null,null,4.014,-5.5376,0.545,0.930,31325,1
GO:0051495,"positive regulation of cytoskeleton organization",0.118%,null,null,4.180,-4.4935,0.518,0.861,31325,1
GO:0051493,"regulation of cytoskeleton organization",0.232%,null,null,4.474,-4.5129,0.639,0.862,31325,1
GO:0010942,"positive regulation of cell death",0.114%,null,null,4.165,-6.4962,0.533,0.717,31325,1
GO:0010941,"regulation of cell death",0.344%,null,null,4.645,-4.9914,0.649,0.937,31325,1
GO:0042981,"regulation of apoptotic process",0.313%,null,null,4.604,-5.1018,0.651,0.901,31325,1
GO:0045664,"regulation of neuron differentiation",0.117%,null,null,4.177,-5.0600,0.574,0.956,31325,1
GO:1902905,"positive regulation of supramolecular fiber organization",0.108%,null,null,4.141,-4.8069,0.507,0.855,31325,1
GO:0042327,"positive regulation of phosphorylation",0.245%,null,null,4.497,-7.7190,0.460,0.968,31325,1
GO:1903428,"positive regulation of reactive oxygen species biosynthetic process",0.008%,null,null,3.000,-4.0000,0.586,0.887,31325,1
GO:0043410,"positive regulation of MAPK cascade",0.111%,null,null,4.153,-7.4034,0.357,0.931,31325,1
GO:0045598,"regulation of fat cell differentiation",0.023%,null,null,3.465,-4.8697,0.659,0.765,31325,1
GO:0045597,"positive regulation of cell differentiation",0.168%,null,null,4.333,-10.3045,0.475,0.742,31325,1
GO:1903508,"positive regulation of nucleic acid-templated transcription",0.519%,null,null,4.823,-12.4134,0.459,0.994,31325,1
GO:0009896,"positive regulation of catabolic process",0.072%,null,null,3.966,-7.1512,0.540,0.762,31325,1
GO:0009893,"positive regulation of metabolic process",1.048%,null,null,5.129,-19.9626,0.466,0.869,31325,1
GO:2000379,"positive regulation of reactive oxygen species metabolic process",0.016%,null,null,3.301,-6.7375,0.572,0.675,31325,1
GO:2000377,"regulation of reactive oxygen species metabolic process",0.031%,null,null,3.595,-5.1445,0.688,0.695,31325,1
GO:0032651,"regulation of interleukin-1 beta production",0.007%,null,null,2.971,-4.1481,0.680,0.821,31325,1
GO:0060284,"regulation of cell development",0.174%,null,null,4.350,-7.2848,0.610,0.887,31325,1
GO:0009891,"positive regulation of biosynthetic process",0.674%,null,null,4.937,-11.2495,0.469,0.940,31325,1
GO:0032675,"regulation of interleukin-6 production",0.021%,null,null,3.420,-6.6459,0.660,0.877,31325,1
GO:0032680,"regulation of tumor necrosis factor production",0.019%,null,null,3.379,-7.4522,0.658,0.871,31325,1
GO:0051094,"positive regulation of developmental process",0.258%,null,null,4.521,-7.3635,0.495,0.753,31325,1
GO:1903557,"positive regulation of tumor necrosis factor superfamily cytokine production",0.010%,null,null,3.121,-4.8996,0.556,0.963,31325,1
GO:0051130,"positive regulation of cellular component organization",0.374%,null,null,4.681,-8.5317,0.484,0.801,31325,1
GO:1903555,"regulation of tumor necrosis factor superfamily cytokine production",0.019%,null,null,3.391,-7.7471,0.657,0.995,31325,1
GO:0032720,"negative regulation of tumor necrosis factor production",0.008%,null,null,3.025,-4.0768,0.629,0.953,31325,1
GO:0051173,"positive regulation of nitrogen compound metabolic process",0.685%,null,null,4.944,-19.7212,0.469,0.941,31325,1
GO:0032755,"positive regulation of interleukin-6 production",0.013%,null,null,3.213,-5.0565,0.554,0.966,31325,1
GO:0010769,"regulation of cell morphogenesis involved in differentiation",0.055%,null,null,3.852,-4.6180,0.599,0.904,31325,1
GO:0046903,"secretion",0.810%,-0.287, 4.967,5.017,-11.2190,0.903,0.306,46903,0
GO:0048583,"regulation of response to stimulus",1.120%,-2.306,-4.973,5.158,-11.5670,0.570,0.310,48583,0
GO:0065009,"regulation of molecular function",1.726%,-6.660,-3.725,5.345,-12.8601,0.662,0.311,65009,0
GO:0050793,"regulation of developmental process",1.205%,-7.035,-3.909,5.189,-9.9469,0.602,0.313,50793,0
GO:0022603,"regulation of anatomical structure morphogenesis",0.830%,null,null,5.027,-7.2941,0.599,0.835,50793,1
GO:0022604,"regulation of cell morphogenesis",0.707%,null,null,4.958,-6.1945,0.535,0.896,50793,1
GO:0045444,"fat cell differentiation",0.042%,null,null,3.732,-4.0255,0.840,0.569,50793,1
GO:0030154,"cell differentiation",1.133%,null,null,5.162,-5.4486,0.804,0.780,50793,1
GO:0048856,"anatomical structure development",2.540%,null,null,5.513,-6.5482,0.887,0.858,50793,1
GO:0045595,"regulation of cell differentiation",0.345%,null,null,4.645,-10.2000,0.600,0.688,50793,1
GO:0048869,"cellular developmental process",1.896%,null,null,5.386,-4.8827,0.802,0.909,50793,1
GO:0045765,"regulation of angiogenesis",0.049%,null,null,3.796,-5.5436,0.618,0.576,50793,1
GO:1901342,"regulation of vasculature development",0.053%,null,null,3.831,-5.3536,0.616,0.860,50793,1
GO:0051093,"negative regulation of developmental process",0.188%,null,null,4.381,-4.2774,0.585,0.731,50793,1
GO:0008360,"regulation of cell shape",0.640%,null,null,4.914,-4.3605,0.525,0.950,50793,1
GO:0051128,"regulation of cellular component organization",1.586%,-5.654,-3.167,5.308,-10.4750,0.608,0.323,51128,0
GO:0006325,"chromatin organization",0.668%,null,null,4.933,-6.2495,0.893,0.689,51128,1
GO:0016577,"histone demethylation",0.012%,null,null,3.184,-6.7305,0.804,0.948,51128,1
GO:0016570,"histone modification",0.373%,null,null,4.680,-8.3344,0.806,0.500,51128,1
GO:0016569,"covalent chromatin modification",0.424%,null,null,4.736,-8.4510,0.827,0.900,51128,1
GO:0006482,"protein demethylation",0.019%,null,null,3.378,-5.6840,0.838,0.974,51128,1
GO:0070076,"histone lysine demethylation",0.011%,null,null,3.168,-6.3179,0.805,0.742,51128,1
GO:0006954,"inflammatory response",0.110%, 3.259,-5.720,4.151,-10.3497,0.828,0.327,6954,0
GO:0031347,"regulation of defense response",0.132%,null,null,4.229,-7.1385,0.566,0.765,6954,1
GO:0048519,"negative regulation of biological process",1.984%,-6.198,-4.397,5.406,-7.6498,0.643,0.332,48519,0
GO:0009894,"regulation of catabolic process",0.146%,-7.231,-1.941,4.272,-5.6073,0.667,0.336,9894,0
GO:0065008,"regulation of biological quality",3.395%,-6.369,-3.356,5.639,-7.5229,0.639,0.345,65008,0
GO:0071496,"cellular response to external stimulus",0.446%, 3.044,-6.161,4.758,-7.5850,0.809,0.373,71496,0
GO:0071214,"cellular response to abiotic stimulus",0.113%,null,null,4.162,-4.0429,0.823,0.696,71496,1
GO:0009612,"response to mechanical stimulus",0.035%,null,null,3.647,-4.5243,0.838,0.632,71496,1
GO:0031668,"cellular response to extracellular stimulus",0.436%,null,null,4.748,-5.7144,0.765,0.780,71496,1
GO:0031669,"cellular response to nutrient levels",0.115%,null,null,4.169,-5.1331,0.787,0.883,71496,1
GO:0009719,"response to endogenous stimulus",0.526%, 2.690,-6.683,4.829,-6.1524,0.838,0.379,9719,0
GO:1902531,"regulation of intracellular signal transduction",0.547%,-2.032,-5.057,4.846,-12.6440,0.504,0.381,1902531,0
GO:0023051,"regulation of signaling",0.934%,null,null,5.079,-7.0737,0.638,0.636,1902531,1
GO:0023056,"positive regulation of signaling",0.356%,null,null,4.660,-7.0013,0.498,0.854,1902531,1
GO:0048584,"positive regulation of response to stimulus",0.461%,null,null,4.772,-12.4271,0.425,0.839,1902531,1
GO:0035556,"intracellular signal transduction",4.000%,null,null,5.710,-8.4881,0.481,0.602,1902531,1
GO:0010646,"regulation of cell communication",0.929%,null,null,5.076,-6.7167,0.625,0.618,1902531,1
GO:0010647,"positive regulation of cell communication",0.359%,null,null,4.663,-6.7033,0.493,0.855,1902531,1
GO:0007166,"cell surface receptor signaling pathway",0.920%,null,null,5.072,-8.1986,0.543,0.641,1902531,1
GO:0007165,"signal transduction",6.621%,null,null,5.929,-12.5969,0.457,0.847,1902531,1
GO:0070372,"regulation of ERK1 and ERK2 cascade",0.049%,null,null,3.796,-7.9031,0.464,0.735,1902531,1
GO:0070374,"positive regulation of ERK1 and ERK2 cascade",0.034%,null,null,3.636,-6.1163,0.397,0.969,1902531,1
GO:0051056,"regulation of small GTPase mediated signal transduction",0.218%,null,null,4.447,-5.1029,0.533,0.833,1902531,1
GO:0032101,"regulation of response to external stimulus",0.160%,null,null,4.313,-7.6576,0.551,0.763,1902531,1
GO:0043405,"regulation of MAP kinase activity",0.079%,null,null,4.005,-6.4168,0.427,0.865,1902531,1
GO:1902533,"positive regulation of intracellular signal transduction",0.214%,null,null,4.439,-7.8894,0.422,0.947,1902531,1
GO:1902532,"negative regulation of intracellular signal transduction",0.128%,null,null,4.216,-5.7773,0.497,0.795,1902531,1
GO:0009967,"positive regulation of signal transduction",0.329%,null,null,4.625,-7.1618,0.407,0.864,1902531,1
GO:0009966,"regulation of signal transduction",0.857%,null,null,5.041,-7.8601,0.488,0.930,1902531,1
GO:0080134,"regulation of response to stress",0.337%,null,null,4.636,-7.9508,0.546,0.815,1902531,1
GO:0009628,"response to abiotic stimulus",0.571%, 2.082,-7.153,4.865,-5.8665,0.837,0.382,9628,0
GO:0051174,"regulation of phosphorus metabolic process",0.580%,-6.230,-1.888,4.872,-11.4112,0.620,0.389,51174,0
GO:0018193,"peptidyl-amino acid modification",1.495%,-4.875, 5.042,5.283,-4.8539,0.849,0.420,18193,0
GO:0036211,"protein modification process",7.726%,null,null,5.996,-7.3862,0.867,0.819,18193,1
GO:0006464,"cellular protein modification process",7.726%,null,null,5.996,-7.3862,0.822,0.699,18193,1
GO:0043484,"regulation of RNA splicing",0.040%,-7.007,-0.820,3.705,-4.2182,0.681,0.421,43484,0
GO:0032268,"regulation of cellular protein metabolic process",1.473%,-5.720,-0.926,5.277,-13.2403,0.529,0.430,32268,0
GO:0001933,"negative regulation of protein phosphorylation",0.110%,null,null,4.150,-4.5129,0.527,0.960,32268,1
GO:0045860,"positive regulation of protein kinase activity",0.134%,null,null,4.237,-6.6882,0.426,0.946,32268,1
GO:0045859,"regulation of protein kinase activity",0.295%,null,null,4.579,-6.4283,0.514,0.947,32268,1
GO:0001932,"regulation of protein phosphorylation",0.430%,null,null,4.742,-10.4976,0.529,0.849,32268,1
GO:0019220,"regulation of phosphate metabolic process",0.579%,null,null,4.871,-11.2967,0.562,0.974,32268,1
GO:0071902,"positive regulation of protein serine/threonine kinase activity",0.075%,null,null,3.985,-5.4089,0.446,0.923,32268,1
GO:0071900,"regulation of protein serine/threonine kinase activity",0.179%,null,null,4.362,-5.6440,0.530,0.907,32268,1
GO:0045936,"negative regulation of phosphate metabolic process",0.182%,null,null,4.368,-4.8601,0.547,0.871,32268,1
GO:0010563,"negative regulation of phosphorus metabolic process",0.182%,null,null,4.368,-4.9830,0.549,0.871,32268,1
GO:0010562,"positive regulation of phosphorus metabolic process",0.282%,null,null,4.559,-8.2403,0.460,0.905,32268,1
GO:0043549,"regulation of kinase activity",0.319%,null,null,4.612,-6.3990,0.550,0.965,32268,1
GO:0031399,"regulation of protein modification process",0.565%,null,null,4.860,-11.8996,0.557,0.873,32268,1
GO:0042325,"regulation of phosphorylation",0.468%,null,null,4.779,-11.0511,0.569,0.947,32268,1
GO:0042326,"negative regulation of phosphorylation",0.117%,null,null,4.178,-4.9431,0.558,0.965,32268,1
