term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0001959,"regulation of cytokine-mediated signaling pathway",0.019%,null,null,3.385,-6.4750,0.430,0.862,60337,1
GO:0002684,"positive regulation of immune system process",0.165%,null,null,4.327,-7.9101,0.386,0.925,60337,1
GO:0045824,"negative regulation of innate immune response",0.012%,null,null,3.183,-5.4647,0.341,0.724,60337,1
GO:0001960,"negative regulation of cytokine-mediated signaling pathway",0.010%,null,null,3.088,-3.0301,0.425,0.957,60337,1
GO:0002683,"negative regulation of immune system process",0.080%,null,null,4.012,-3.0820,0.430,0.875,60337,1
GO:0002682,"regulation of immune system process",0.252%,null,null,4.510,-11.6596,0.451,0.871,60337,1
GO:0035458,"cellular response to interferon-beta",0.003%,null,null,2.575,-4.2104,0.651,0.669,60337,1
GO:0035456,"response to interferon-beta",0.004%,null,null,2.692,-7.9747,0.662,0.667,60337,1
GO:0035455,"response to interferon-alpha",0.003%,null,null,2.606,-6.3125,0.665,0.660,60337,1
GO:0051249,"regulation of lymphocyte activation",0.075%,null,null,3.983,-3.5867,0.422,0.938,60337,1
GO:0031347,"regulation of defense response",0.132%,null,null,4.229,-10.8570,0.451,0.634,60337,1
GO:0002697,"regulation of immune effector process",0.064%,null,null,3.915,-7.0052,0.456,0.861,60337,1
GO:0002218,"activation of innate immune response",0.037%,null,null,3.675,-3.0119,0.299,0.945,60337,1
GO:0002694,"regulation of leukocyte activation",0.086%,null,null,4.045,-3.4179,0.419,0.981,60337,1
GO:0050864,"regulation of B cell activation",0.027%,null,null,3.547,-5.3726,0.446,0.848,60337,1
GO:0034342,"response to type III interferon",0.000%,null,null,1.531,-3.2069,0.488,0.587,60337,1
GO:0050865,"regulation of cell activation",0.092%,null,null,4.071,-3.3575,0.660,0.927,60337,1
GO:0034341,"response to interferon-gamma",0.015%,null,null,3.275,-9.0506,0.394,0.834,60337,1
GO:0048584,"positive regulation of response to stimulus",0.461%,null,null,4.772,-6.7620,0.435,0.740,60337,1
GO:0050853,"B cell receptor signaling pathway",0.015%,null,null,3.282,-4.5952,0.326,0.937,60337,1
GO:0050855,"regulation of B cell receptor signaling pathway",0.003%,null,null,2.614,-4.4572,0.366,0.859,60337,1
GO:0045088,"regulation of innate immune response",0.065%,null,null,3.921,-9.9508,0.310,0.862,60337,1
GO:0045087,"innate immune response",0.148%,null,null,4.279,-8.8697,0.408,0.872,60337,1
GO:0046649,"lymphocyte activation",0.120%,null,null,4.188,-3.5670,0.519,0.909,60337,1
GO:0060759,"regulation of response to cytokine stimulus",0.020%,null,null,3.404,-7.4935,0.464,0.850,60337,1
GO:0002253,"activation of immune response",0.079%,null,null,4.008,-4.8928,0.295,0.933,60337,1
GO:0060760,"positive regulation of response to cytokine stimulus",0.006%,null,null,2.874,-3.5935,0.444,0.931,60337,1
GO:0045089,"positive regulation of innate immune response",0.049%,null,null,3.802,-5.5575,0.291,0.886,60337,1
GO:0050851,"antigen receptor-mediated signaling pathway",0.031%,null,null,3.599,-4.3152,0.304,0.759,60337,1
GO:0046651,"lymphocyte proliferation",0.048%,null,null,3.793,-3.8386,0.475,0.981,60337,1
GO:0002252,"immune effector process",0.185%,null,null,4.375,-10.8539,0.567,0.849,60337,1
GO:0034097,"response to cytokine",0.136%,null,null,4.242,-12.1215,0.642,0.577,60337,1
GO:0034340,"response to type I interferon",0.008%,null,null,3.007,-5.9626,0.410,0.692,60337,1
GO:0002250,"adaptive immune response",0.053%,null,null,3.834,-3.7545,0.460,0.769,60337,1
GO:0010647,"positive regulation of cell communication",0.359%,null,null,4.663,-4.0200,0.586,0.817,60337,1
GO:0042100,"B cell proliferation",0.017%,null,null,3.336,-4.5622,0.498,0.904,60337,1
GO:0032101,"regulation of response to external stimulus",0.160%,null,null,4.313,-3.9469,0.477,0.752,60337,1
GO:0002768,"immune response-regulating cell surface receptor signaling pathway",0.039%,null,null,3.704,-3.6198,0.321,0.913,60337,1
GO:0030183,"B cell differentiation",0.021%,null,null,3.433,-3.0752,0.532,0.917,60337,1
GO:0070663,"regulation of leukocyte proliferation",0.038%,null,null,3.690,-4.4045,0.668,0.916,60337,1
GO:0002757,"immune response-activating signal transduction",0.066%,null,null,3.925,-3.5045,0.287,0.959,60337,1
GO:2000659,"regulation of interleukin-1-mediated signaling pathway",0.001%,null,null,2.117,-3.1040,0.499,0.661,60337,1
GO:0002764,"immune response-regulating signaling pathway",0.069%,null,null,3.948,-3.8601,0.312,0.923,60337,1
GO:0019221,"cytokine-mediated signaling pathway",0.093%,null,null,4.078,-18.4868,0.478,0.809,60337,1
GO:0070665,"positive regulation of leukocyte proliferation",0.024%,null,null,3.496,-3.5654,0.597,0.970,60337,1
GO:0050777,"negative regulation of immune response",0.029%,null,null,3.571,-3.6271,0.336,0.829,60337,1
GO:0050778,"positive regulation of immune response",0.112%,null,null,4.159,-8.4572,0.286,0.919,60337,1
GO:0042113,"B cell activation",0.048%,null,null,3.790,-6.8386,0.539,0.763,60337,1
GO:0050776,"regulation of immune response",0.150%,null,null,4.283,-12.0269,0.309,0.834,60337,1
GO:0060338,"regulation of type I interferon-mediated signaling pathway",0.006%,null,null,2.863,-3.0958,0.302,0.988,60337,1
GO:0034612,"response to tumor necrosis factor",0.032%,null,null,3.615,-3.9957,0.624,0.878,60337,1
GO:0060333,"interferon-gamma-mediated signaling pathway",0.004%,null,null,2.745,-13.9508,0.364,0.710,60337,1
GO:0032943,"mononuclear cell proliferation",0.049%,null,null,3.795,-3.7905,0.811,0.993,60337,1
GO:0032944,"regulation of mononuclear cell proliferation",0.037%,null,null,3.678,-3.5986,0.666,0.996,60337,1
GO:0032946,"positive regulation of mononuclear cell proliferation",0.023%,null,null,3.477,-3.1624,0.596,0.994,60337,1
GO:0043123,"positive regulation of I-kappaB kinase/NF-kappaB signaling",0.037%,null,null,3.676,-3.0048,0.465,0.825,60337,1
GO:0043122,"regulation of I-kappaB kinase/NF-kappaB signaling",0.049%,null,null,3.799,-3.0119,0.497,0.963,60337,1
GO:0006959,"humoral immune response",0.035%,null,null,3.650,-3.2757,0.471,0.745,60337,1
GO:0009967,"positive regulation of signal transduction",0.329%,null,null,4.625,-4.0526,0.404,0.800,60337,1
GO:0031349,"positive regulation of defense response",0.066%,null,null,3.926,-5.9706,0.417,0.903,60337,1
GO:0009966,"regulation of signal transduction",0.857%,null,null,5.041,-3.2076,0.414,0.892,60337,1
GO:0006955,"immune response",0.337%,null,null,4.635,-17.2041,0.421,0.666,60337,1
GO:0080134,"regulation of response to stress",0.337%,null,null,4.636,-4.1938,0.466,0.802,60337,1
GO:0030890,"positive regulation of B cell proliferation",0.008%,null,null,2.990,-3.6904,0.392,0.936,60337,1
GO:0030888,"regulation of B cell proliferation",0.011%,null,null,3.167,-5.0414,0.418,0.884,60337,1
GO:0071310,"cellular response to organic substance",0.651%,null,null,4.922,-3.5243,0.587,0.803,60337,1
GO:0033209,"tumor necrosis factor-mediated signaling pathway",0.016%,null,null,3.305,-5.3298,0.522,0.852,60337,1
GO:0010033,"response to organic substance",0.900%,null,null,5.062,-6.0232,0.639,0.597,60337,1
GO:0071345,"cellular response to cytokine stimulus",0.122%,null,null,4.194,-5.1192,0.579,0.963,60337,1
GO:0071346,"cellular response to interferon-gamma",0.011%,null,null,3.155,-4.9547,0.391,0.922,60337,1
GO:0007259,"JAK-STAT cascade",0.033%,-6.505, 2.395,3.630,-4.0825,0.619,0.288,7259,0
GO:0042531,"positive regulation of tyrosine phosphorylation of STAT protein",0.009%,null,null,3.066,-3.3635,0.481,0.924,7259,1
GO:0000209,"protein polyubiquitination",0.066%, 4.324,-1.890,3.929,-3.6234,0.942,0.298,209,0
GO:1905563,"negative regulation of vascular endothelial cell proliferation",0.000%, 2.565, 4.246,0.301,-3.8268,0.765,0.312,1905563,0
GO:0009607,"response to biotic stimulus",0.342%,-7.705,-0.304,4.643,-27.5952,0.715,0.321,9607,0
GO:0009605,"response to external stimulus",1.370%,-7.477, 0.291,5.245,-18.0097,0.685,0.370,9605,0
GO:0006950,"response to stress",4.575%,null,null,5.769,-6.7773,0.654,0.501,9605,1
GO:0042221,"response to chemical",3.071%,null,null,5.595,-5.0830,0.665,0.562,9605,1
GO:0045163,"clustering of voltage-gated potassium channels",0.000%, 1.837, 7.707,1.813,-3.2069,0.916,0.372,45163,0
GO:0097696,"STAT cascade",0.033%,-6.098, 1.875,3.631,-4.0825,0.625,0.386,97696,0
GO:0006952,"defense response",0.568%,-6.643,-0.479,4.863,-21.7595,0.664,0.399,6952,0
GO:0007166,"cell surface receptor signaling pathway",0.920%,-5.223, 2.010,5.072,-12.4034,0.544,0.411,7166,0
GO:0023051,"regulation of signaling",0.934%,null,null,5.079,-3.0278,0.688,0.536,7166,1
GO:0010646,"regulation of cell communication",0.929%,null,null,5.076,-3.0017,0.686,0.521,7166,1
GO:0007165,"signal transduction",6.621%,null,null,5.929,-8.0343,0.474,0.680,7166,1
GO:0048583,"regulation of response to stimulus",1.120%,-5.291, 2.609,5.158,-5.3851,0.587,0.420,48583,0
GO:0051091,"positive regulation of sequence-specific DNA binding transcription factor activity",0.050%,-3.762, 5.938,3.806,-3.0119,0.669,0.453,51091,0
GO:0070661,"leukocyte proliferation",0.051%, 4.363, 4.505,3.814,-3.4260,0.844,0.460,70661,0
GO:0042590,"antigen processing and presentation of exogenous peptide antigen via MHC class I",0.001%,-4.743,-5.485,2.188,-3.2240,0.658,0.486,42590,0
GO:0002479,"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent",0.001%,null,null,1.892,-3.4260,0.668,0.876,42590,1
