population	sample_id	CD7	CD19	pMET	pPLCg2	CD4	IgD	CD20	CD34	CD25	STAT5	CD123	Akt	STAT1	CD45	CD27	p-p38	CD24	pStat3	CD11c	CD14	CD33	Ikba	pCREB	CD16	tMET	CD8a	CD45RA	CD3	pERK	CD38	HLA-DR	pS6	CD127
NK cells	E01_D0_perv	4.374990862	0.237512603	2.883898373	4.005927784	0.817941366	0.381845417	0.211604474	0.37060969	0.881176484	2.703520515	0.072157102	2.32053772	1.656594058	5.88924191	1.616108514	3.318643303	0.361870141	0.517773393	3.938146273	0.517167732	1.185053429	1.10831714	4.446244682	0.678436158	1.826028251	0.96120548	3.518262615	0.398471556	1.94930683	4.875971282	0.937073686	1.299387814	0.153089208
None	E01_D0_perv	1.7420507	0.583609101	2.635913541	2.658719573	0.855759871	0.314647477	0.135872812	0.644816372	0.975090727	1.98212434	3.503480231	1.803448216	1.860389122	5.321559119	1.443720591	3.378496328	0.2689036	0.633862137	1.907372919	0.414904478	1.503396708	1.475197045	4.384956737	0.423878485	1.643933451	0.191006312	3.104498381	0.982485079	0.937373318	5.281117678	2.275632041	1.454546992	0.233469001
T.CD4 cells	E01_D0_perv	2.693697329	0.289411149	3.072197421	4.349015842	3.746109022	0.769380921	0.095351105	0.267498466	0.848052561	2.878848361	0.082039962	2.41716591	3.380005556	6.056779862	4.288296329	2.976189852	0.166416317	1.827872686	0.271002902	0.537658835	0.079797409	2.112028968	4.41497304	0.323600367	2.122852233	0.375741084	1.452381643	6.167399777	1.9539391	1.622892781	0.393855236	1.43088201	0.625368111
T.CD8 cells	E01_D0_perv	2.717324155	0.27315545	2.979468323	4.454192495	1.018749583	0.415177219	0.143638562	0.333314524	0.224515621	2.819996729	0.04332067	2.206663418	2.478559221	6.262082747	3.980869382	3.145822083	0.180695144	0.974687442	0.301895263	0.578672504	0.073652204	1.613985695	4.488173608	0.372267411	1.957918554	4.700268806	2.561838773	6.022183078	1.838819639	1.526237103	0.470121503	1.546398668	0.486591441
T.DN cells	E01_D0_perv	2.87163991	0.159310745	2.503373366	3.625217804	0.657081999	0.301670424	0.141561096	0.409852998	0.17088731	2.147743219	0.029600059	1.840020355	1.575815654	6.343297422	3.763302201	2.910600645	0.162380268	0.348060512	0.409443667	0.404417471	0.066252387	1.469269401	4.070716287	0.444205123	1.927196775	0.651492765	1.706080866	6.479055822	1.303813738	1.549009987	0.379045611	1.07049326	0.361733241
Unknown	E01_D0_perv	0.070928313	0.062206993	0.793259518	0.396784678	0.045329048	0.054906493	0.013255666	0.070963924	0.080066387	0.425724142	0.054775229	0.17969601	0.098089988	1.436183236	0.049478084	1.049768469	0.053987342	0.225260381	0.650426718	0.12075307	0.373203518	0.129294871	1.059538675	0.084245873	0.222163894	0.034759839	0.480188434	0.207211171	0.095537855	0.844704785	0.517242238	0.143170575	0.128191199
B cells	E01_D1_UN	0.694435842	4.086639392	2.670365513	1.183737332	0.46279114	1.280464569	4.591021029	0.996708498	0.737931554	0.68619161	0.263171027	2.098692699	0.816301682	6.302543422	2.102824746	1.185036751	0.910035846	0.489591066	2.976597956	0.895597818	1.223194977	2.117235592	4.63929151	0.216471379	2.402941412	0.119532106	5.68643561	0.73950455	0.403583371	2.338277212	5.309260774	3.151135094	0.246524254
Granulocytes	E01_D1_UN	0.225771219	0.049371056	1.919271046	0.300224111	0.053127843	0.122218501	0.076886578	0.25726039	0.103376606	0.379564931	0.102117316	0.921156601	0.462998829	5.298483849	0.174679737	2.196252862	2.009329241	0.833813813	3.7965676	0.299075553	2.538305288	0.419957186	3.606018489	0.127401067	0.415454131	0.091974532	2.222834433	0.319848065	0.461510848	3.114295426	0.316657987	1.290418616	0.199601748
HPSC	E01_D1_UN	1.147854458	0.216680359	2.066657976	0.561545715	0.109458137	0.354919895	0.063321598	4.076100604	1.585413962	0.587818822	1.621772041	0.94798994	0.277980244	4.153420867	0.058578163	1.520696534	0.112760325	1.275710875	1.272172556	0.203291135	2.378270073	2.014520978	4.73475092	0.142311206	1.302492717	0.065261447	1.055623682	0.223068465	0.275701314	5.212102288	3.910036715	0.571155589	0.145772003
Monocytes	E01_D1_UN	0.541445909	0.065668277	2.960291966	1.113854497	1.033309891	0.347090438	0.103214208	0.336204426	0.147573244	1.012181991	0.472321041	2.020616255	1.346722738	6.05828488	0.259942557	2.889458953	0.282621172	0.571801962	5.697355816	3.166291283	4.665369651	1.803221023	5.324856425	0.582423572	1.696260089	0.115889822	4.342372292	0.557895875	0.437176706	4.351006005	5.00535191	1.49756015	0.283758186
NK cells	E01_D1_UN	4.410597039	0.050268433	1.957668902	1.459853781	0.250256912	0.143300547	0.221062873	0.296100243	1.149294701	0.792735779	0.055490996	1.211984467	0.302934676	5.807850016	1.67198563	0.58119464	0.240152019	0.115161967	3.812199657	0.1545407	1.344893211	1.550316964	4.305651306	0.753752916	1.701347757	0.968952265	3.567782124	0.391863475	0.14317962	4.74275309	0.995129113	0.305032999	0.150010432
None	E01_D1_UN	1.312370759	0.60483309	2.160620578	0.654834366	0.33879614	0.255212482	0.133274926	0.523627434	1.251010436	0.715182261	3.268675091	1.469658257	0.980899661	5.337391276	1.506608873	1.790514502	0.136659514	0.468808492	2.153067205	0.168107873	1.550152513	1.400175081	4.316641663	0.425168891	1.380308979	0.210781422	2.719453785	1.191745084	0.393631403	5.292032148	1.791834779	1.043126348	0.252087024
T.CD4 cells	E01_D1_UN	2.415644868	0.050054767	1.976060247	0.855548715	3.662625506	0.460713061	0.115283418	0.206410469	1.037849221	0.518952444	0.03599476	1.362907223	1.204145652	6.006969776	4.123990597	0.52140374	0.082441947	1.140151881	0.22199229	0.108035431	0.080640186	2.757600788	3.579283353	0.282249042	2.033176756	0.429135691	1.28643033	6.193970156	0.313230671	1.365017179	0.333466702	0.170118038	0.728024026
T.CD8 cells	E01_D1_UN	2.622645668	0.033004673	1.975049057	0.800345557	0.209651224	0.103090782	0.184908648	0.254780238	0.332926019	0.54510411	0.023814736	1.506678304	0.981955432	6.20608895	4.120109806	0.497574288	0.088719883	0.578587049	0.263364551	0.113514201	0.079664099	2.550698814	4.049125994	0.328069008	1.846324754	4.696150847	2.3716538	6.093550749	0.285911669	1.322524059	0.416222889	0.335024739	0.604561825
T.DN cells	E01_D1_UN	2.787909789	0.027318466	1.87442735	0.817077362	0.111024178	0.101770913	0.152683222	0.30687554	0.201644054	0.527889371	0.01992707	1.436923578	0.655816608	6.244185651	3.783407494	0.550584575	0.079581775	0.148234212	0.360442005	0.111525993	0.06659716	1.780245892	4.081080728	0.395375022	1.665684671	0.665140011	1.418016895	6.422826571	0.411974899	1.409063462	0.38856138	0.417468565	0.506102154
Unknown	E01_D1_UN	0.080392742	0.034756286	0.734673319	0.125591949	0.036695251	0.055039577	0.019287444	0.074097897	0.063348335	0.107826852	0.056953269	0.158152804	0.054962649	1.450602519	0.047404986	0.459990226	0.0470004	0.140350825	0.66508827	0.104960102	0.417066793	0.145729345	1.075854569	0.084785699	0.224888394	0.033365251	0.478043608	0.236873721	0.060186584	0.880492247	0.4713888	0.15106269	0.094466323
B cells	E01_D1_perv	0.769225929	3.879561285	2.751003605	2.063317561	0.461812421	1.247217613	4.470025015	0.959005568	0.664352801	1.082596116	0.185676159	2.242604546	1.159630473	6.174569698	1.957129978	2.539590822	0.876601906	0.694746477	2.638826484	0.578244654	0.509094774	1.980686771	4.554695749	0.184268475	2.48877704	0.156724249	5.65880869	0.712068665	0.890409527	1.887907546	5.143200383	3.167485562	0.213997621
Granulocytes	E01_D1_perv	0.266776509	0.072960151	2.185889822	1.169469144	0.133330623	0.163611912	0.083032447	0.255429887	0.105815257	0.872779241	0.08533757	1.041447988	0.550206673	5.292120501	0.202309124	2.63231874	2.048191266	1.067304042	3.729090167	0.386719557	2.574105928	0.416313839	3.731537	0.125379434	0.495601299	0.082913188	2.268412298	0.321611679	0.992357417	3.128058879	0.379542589	1.287771124	0.20786039
HPSC	E01_D1_perv	1.305611089	0.219648036	2.238538161	1.345113697	0.175173988	0.444001027	0.061584642	4.088654875	1.635596148	1.232050084	1.677626608	1.549928322	0.765944911	4.219752554	0.106989941	3.597449116	0.31805361	1.608327555	1.33399745	0.274804943	2.484330567	2.072900299	5.169407241	0.189550025	1.267661851	0.072301369	1.085837444	0.200795048	0.846379716	5.17314823	3.841677131	0.73796484	0.151270126
Monocytes	E01_D1_perv	0.819947279	0.236496353	3.45853454	3.038474317	1.476272983	0.545709555	0.109349914	0.393974326	0.150844298	2.145940956	0.465970813	2.003359418	1.743264619	6.10714855	0.307894672	3.93730132	0.467383792	1.303525962	5.659162655	3.23850962	4.576142863	1.980769908	5.029666136	0.612640574	1.855921371	0.112473875	4.429785741	0.521464535	1.128433101	4.256275047	4.855195947	1.402178413	0.239410326
NK cells	E01_D1_perv	4.433235347	0.208978251	2.793671934	4.065237285	0.796183149	0.359426428	0.194757426	0.355002806	1.004054166	2.607942517	0.060125172	2.357795	1.440152953	5.83659676	1.67632521	3.307202942	0.37167613	0.468963691	4.016668108	0.501738704	1.299135627	1.254526645	4.596026421	0.56070359	1.810276411	0.834234713	3.574092886	0.384969159	1.710969639	4.722140151	0.91781812	1.294331068	0.146375616
None	E01_D1_perv	1.46081964	0.725699632	2.737518473	2.618179678	0.764617253	0.35446386	0.190751932	0.515093135	1.175841069	2.084471581	3.730117803	1.796758162	1.918165953	5.34705822	1.34364713	3.402159264	0.265127528	0.958439778	2.140061237	0.369591099	1.694438416	1.439847059	4.438337514	0.321623467	1.647303112	0.13943842	2.860621712	0.755389507	1.036522684	5.439228757	2.174368517	1.294256504	0.209705343
T.CD4 cells	E01_D1_perv	2.56420219	0.269739636	2.967403232	4.149846532	3.720343725	0.738003593	0.097645764	0.258177791	0.895815484	2.725369572	0.083536822	2.221925026	3.233555226	6.031408577	4.095613693	2.834376192	0.161252744	1.790928227	0.258401607	0.504244548	0.076428376	2.022141695	4.185558077	0.300056984	2.099571066	0.365703446	1.269574829	6.100569966	1.60419217	1.394122506	0.349082193	1.269369058	0.711397491
T.CD8 cells	E01_D1_perv	2.724907119	0.260816736	2.938499048	4.424432172	1.019590165	0.407416118	0.148104041	0.315890779	0.26352387	2.737955136	0.044517122	2.120205985	2.462778836	6.234478772	4.06203584	3.086876707	0.182337775	1.045578506	0.294739141	0.567378253	0.075395168	1.6567733	4.456004816	0.350585954	1.948320661	4.624687267	2.317149074	5.990317582	1.560320042	1.362851335	0.428319986	1.503351538	0.590830169
T.DN cells	E01_D1_perv	2.851132389	0.157960281	2.511925523	3.706949328	0.674573202	0.30532061	0.13310611	0.376104065	0.171984387	2.118027344	0.02840915	1.773117965	1.56466502	6.235872565	3.752762904	2.919449455	0.166693548	0.37417658	0.349998356	0.411375718	0.066597316	1.437807383	4.094298425	0.393402127	1.908311584	0.626548669	1.369677413	6.340785123	1.109828877	1.384665106	0.371621658	1.107650933	0.517044732
Unknown	E01_D1_perv	0.14317775	0.07214549	1.004290212	0.562125828	0.079696801	0.07503781	0.021155953	0.088900093	0.106516429	0.334708994	0.084517322	0.227210462	0.121370675	1.648344757	0.083599536	1.031721291	0.073809475	0.247946855	0.793934879	0.173515596	0.450815585	0.235791102	1.296466436	0.103401957	0.265045109	0.044544783	0.594588482	0.276748815	0.172998485	0.985060149	0.584360839	0.235118811	0.171961246
B cells	E01_D2_UN	0.673999237	4.236970479	2.62075915	1.008466765	0.270145591	1.11309566	4.763653272	1.026413514	0.59585239	0.592714649	0.211470243	1.861056697	0.726119501	6.218980415	2.004541701	0.836029206	0.822150392	0.520754826	2.940388212	0.541461661	0.688073456	1.651624745	4.445583691	0.14557765	1.963169027	0.129232007	5.61414544	0.650091872	0.38955861	2.086342204	5.216615651	3.096603704	0.22482158
Granulocytes	E01_D2_UN	0.176194484	0.044875993	1.60707732	0.223039338	0.039091091	0.089366648	0.077803746	0.216081627	0.102461134	0.306049902	0.058941529	0.742395064	0.382078938	5.262443832	0.148763795	1.43854334	2.403215081	1.192143149	3.348750825	0.241607433	2.313983155	0.320284711	2.579746764	0.078112827	0.332840862	0.086361182	1.751794844	0.274235074	0.218858339	2.970102301	0.286735325	0.634027228	0.19072774
HPSC	E01_D2_UN	1.09263609	0.187659441	1.933087921	0.489774331	0.100992173	0.269722695	0.040903221	4.176267753	1.886514134	0.524635293	1.508906045	0.81400717	0.194341279	4.097099486	0.051449157	1.281685991	0.08724517	0.847070282	1.08750882	0.151760678	2.471290567	1.958666107	4.515525414	0.111106316	1.084492599	0.054646385	0.943802859	0.175251478	0.276537951	5.237100474	4.029538846	0.303619426	0.132734283
Monocytes	E01_D2_UN	0.524619548	0.073405008	3.01585361	1.03292428	0.907368511	0.324332119	0.119692483	0.35590934	0.169201189	1.026790726	0.393772066	1.758208869	1.479906651	6.081004917	0.255240831	2.22672825	0.258197682	0.616438972	5.726452944	3.135956065	4.78523149	2.290902268	5.138284929	0.506410759	1.538524611	0.121531196	4.403209244	0.543418048	0.361964704	4.544035173	4.968394841	0.822169479	0.283241873
NK cells	E01_D2_UN	4.407086443	0.040437923	1.900892249	1.303101794	0.225340832	0.119847232	0.204120953	0.269698953	1.182580018	0.63251914	0.049871682	1.110207703	0.252302337	5.815673666	1.558336859	0.62668389	0.228420019	0.104625086	3.846986554	0.136039747	1.381426046	1.147700001	4.371860771	0.834937074	1.45045181	1.074047943	3.642990804	0.355438236	0.14736407	4.886543262	0.948529116	0.215159655	0.279335601
None	E01_D2_UN	1.267365304	1.002092863	2.10413399	0.60084929	0.266009705	0.170989041	0.146724067	0.61430787	1.002158971	0.529989069	2.288310898	1.457403484	0.922684746	5.342692125	2.319905677	1.461310117	0.103086692	0.315402115	1.823168575	0.142400766	1.20384494	1.23778304	4.252607305	0.515296786	1.499788707	0.200635641	3.323898703	1.298054338	0.526023233	5.510220983	2.000680314	0.708925893	0.272879985
T.CD4 cells	E01_D2_UN	2.664977171	0.045555033	1.941557032	0.790169585	3.680946379	0.435799268	0.092889616	0.200884563	1.081676427	0.460935148	0.027544666	1.282843472	0.888031481	6.017945299	4.330025697	0.519474217	0.083711661	0.692715643	0.202091714	0.096799712	0.077651643	2.741668118	3.707565574	0.283455837	1.729523009	0.433859148	1.708436919	6.29153919	0.332886273	1.691245254	0.298533754	0.142250373	0.76906719
T.CD8 cells	E01_D2_UN	2.780730844	0.029023132	1.966643092	0.701281369	0.194332999	0.090288671	0.138631025	0.240270024	0.286975603	0.489191878	0.022259164	1.426935954	0.839810102	6.200977551	4.100836749	0.470732082	0.094183509	0.319451839	0.254967636	0.102533013	0.079013051	2.384581708	4.051997077	0.342677275	1.609709148	4.807816474	2.774194723	6.178123956	0.323228908	1.520364536	0.367657261	0.237382538	0.830807274
T.DN cells	E01_D2_UN	2.830921757	0.024761054	1.846607078	0.708272735	0.093326106	0.088425907	0.13758515	0.305515868	0.188299163	0.47064863	0.019409073	1.41896691	0.610842705	6.321020319	3.710904778	0.50384917	0.078536633	0.114507441	0.327515909	0.102135345	0.057691634	1.508697082	4.202139524	0.402015032	1.439566734	0.660326004	1.6751566	6.541391587	0.445823797	1.515986906	0.344917073	0.299038135	0.761843779
Unknown	E01_D2_UN	0.091803031	0.049487875	0.797980119	0.111756509	0.033756402	0.044270608	0.016264164	0.10747827	0.106636532	0.096706954	0.123399868	0.177153047	0.039724996	1.669788525	0.062626477	0.403837206	0.082648733	0.299420162	0.536924944	0.086173896	0.419370374	0.18943509	1.044327612	0.043638478	0.257390324	0.040485378	0.479412048	0.278626932	0.066314377	1.282360179	0.385784045	0.116977117	0.149885956
B cells	E01_D2_perv	0.756715483	4.158973184	2.918874246	2.536842092	0.438588211	1.060292653	4.671858142	0.944316597	0.661582771	1.132738513	0.136774753	2.178145327	0.980658466	6.195468343	1.986948999	2.717208263	0.933546294	0.638701061	2.62178358	0.459420595	0.324919775	1.627139476	4.695010867	0.140206096	2.355399619	0.127045889	5.634547317	0.639111509	1.236482971	1.887032331	5.122725126	3.345980206	0.199407979
Granulocytes	E01_D2_perv	0.206672451	0.060267894	1.774476366	0.841369744	0.074254503	0.108347645	0.079292952	0.232314044	0.105954865	0.615590223	0.054520717	0.800239138	0.405271487	5.24010996	0.172483693	1.995867431	2.382902227	1.28877281	3.354167576	0.288938533	2.381681852	0.326255753	2.819565047	0.098744575	0.378498555	0.098098179	1.72314602	0.299771149	0.66904007	2.940733344	0.295329103	0.72882378	0.192543623
HPSC	E01_D2_perv	1.088285512	0.207038935	2.069056912	1.269920178	0.125335718	0.286539815	0.048476794	4.186631647	1.850343287	1.140701072	1.469302738	1.365884488	0.61287127	4.134410875	0.095630633	3.682126844	0.250155204	1.138917963	1.04848769	0.185259952	2.460387231	2.089938971	5.093049386	0.128022522	1.081313631	0.060389469	0.85785518	0.159149611	0.77630715	5.208125557	3.95019436	0.469960964	0.126139023
Monocytes	E01_D2_perv	0.602868483	0.131163161	3.2279816	2.489191895	1.093789756	0.387123641	0.100782742	0.349136881	0.170136892	1.673066634	0.352791021	1.813759111	1.703627267	6.076613493	0.325073864	4.114113487	0.461004902	0.867381771	5.685793529	3.110691761	4.724462943	2.477717153	5.043777812	0.506560413	1.669208133	0.127076543	4.381989685	0.520033506	0.874922681	4.454564581	4.689140764	0.844987845	0.215798219
NK cells	E01_D2_perv	4.420652671	0.208388255	3.028668986	4.551087811	0.822957569	0.326449365	0.146049507	0.300088993	0.940957274	2.870749049	0.053113558	2.242260123	1.52504783	5.847631745	1.502039411	3.5630838	0.353351105	0.492853112	4.046026029	0.491583527	1.310389371	0.792600266	4.721717412	0.551890364	1.702162251	0.871727656	3.616421314	0.359966605	1.947816491	4.848790123	0.827400853	1.272953644	0.242695666
None	E01_D2_perv	1.379126369	1.188698006	2.827670775	2.910028215	0.664370778	0.303083143	0.15570951	0.594518686	0.905708971	2.093852501	2.225468809	1.939431003	1.67008919	5.528764256	2.374799901	3.23195974	0.233803298	0.755773735	1.686502945	0.398218115	1.117372913	1.240536287	4.393625327	0.429631354	1.828573415	0.238395738	3.711579258	1.222003526	1.348618418	5.597410404	2.383114276	1.081542959	0.273529654
T.CD4 cells	E01_D2_perv	2.758169271	0.273010738	3.350914402	4.797617975	3.738629075	0.682574991	0.074911175	0.22905281	0.863524669	3.038083617	0.049538537	2.37569697	3.010899963	6.041270118	4.272003331	3.106096334	0.174121562	1.529839022	0.261306394	0.520233799	0.072187073	1.661108757	4.55771805	0.30257297	1.906764684	0.349836978	1.658653221	6.184019914	1.716171499	1.631574905	0.29877891	1.380309723	0.760754773
T.CD8 cells	E01_D2_perv	2.875215194	0.275672587	3.357088448	5.061753883	1.107343075	0.394216181	0.103865226	0.273141373	0.210899553	3.266352469	0.03542375	2.249173404	2.582054167	6.234300023	4.028754621	3.380942967	0.211475104	0.978347519	0.310422468	0.614555162	0.067802009	1.128397442	4.674146439	0.366309119	1.812483784	4.769927128	2.825067654	6.070448397	1.889403582	1.547105845	0.356104449	1.595327502	0.796560258
T.DN cells	E01_D2_perv	2.892541403	0.194074112	2.877727804	4.664676914	0.823615815	0.315868391	0.107294227	0.335252106	0.146126898	2.852633002	0.025517119	1.853338869	1.766455583	6.354986406	3.678373137	3.337476696	0.195718356	0.459851471	0.351324308	0.498011785	0.058193121	0.940614577	4.303759445	0.404255351	1.840571491	0.617559429	1.570990657	6.481969802	1.315053109	1.503702556	0.321807523	1.294604633	0.739891662
Unknown	E01_D2_perv	0.123072209	0.099396735	1.096925936	0.595617683	0.072240093	0.06072907	0.014707109	0.110633489	0.159736961	0.300244529	0.159182942	0.282335693	0.098933052	1.887263875	0.080853201	1.081189132	0.103573471	0.291354003	0.672763714	0.139178921	0.501771675	0.25345324	1.351728349	0.057381164	0.314256801	0.05719363	0.604777664	0.355151373	0.129209304	1.461408368	0.48276143	0.199112723	0.213741247
B cells	E03_D0_UN	0.28098903	3.861277687	2.22246176	0.649154969	0.055186574	1.666172121	4.486057856	1.705606472	0.641163141	0.287097636	0.231497632	1.691653775	0.25839376	5.526603434	1.190775081	0.669144133	0.835143576	0.381936837	0.534546756	0.075949379	0.10517393	2.004184826	4.1378355	0.044599699	1.870050577	0.080749257	4.579866201	0.432589478	0.241412773	1.761531651	5.209973515	3.378171222	0.278167197
Granulocytes	E03_D0_UN	0.450530849	0.221949823	2.160947978	0.695716389	0.275083833	0.462029175	0.299102825	2.17442374	0.59702514	0.68760885	1.373022133	1.374694235	0.907714544	4.883877894	0.314145224	1.232650923	2.415407103	1.067870406	3.911448575	0.440825602	1.909326483	1.17869522	2.944607388	0.312354645	1.264924555	0.298550003	2.794465248	0.812022494	0.392366881	3.586552545	1.024741753	0.372335919	1.18570808
HPSC	E03_D0_UN	0.146931232	0.10863196	2.508575035	0.441586393	0.095070422	0.356048705	0.039707445	4.33833818	0.115341265	0.522541366	1.573744182	1.023397789	0.710590632	2.952454731	0.077667274	1.194588084	0.071796255	0.345598165	1.202374392	0.187292485	0.402158254	3.117383668	4.526350254	0.182477331	2.814227596	0.160338202	0.599643153	0.333989922	0.231102501	4.896359812	2.016923726	0.410988546	0.14570416
Monocytes	E03_D0_UN	0.446069609	0.159476032	3.203412155	1.494366944	1.072125191	0.510261837	0.132350385	3.929938198	0.263753058	1.31502081	1.370287215	1.800270515	1.745089947	5.807900743	0.450661481	2.71506733	0.241974227	0.876005191	4.777377935	3.607492578	3.903593826	3.195031966	4.975183411	0.288251437	2.939362515	0.425293534	1.231489929	1.108442747	0.522174448	5.012285501	4.135779226	0.905865753	0.392984656
