population,sample_id,153Eu_STAT1,175Lu_pS6,144Nd_pPLCg2,158Gd_pStat3,171Yb_pERK,156Gd_p-p38,165Ho_pCREB,152Sm_Akt,167Er_total_pMET,143Nd_bio_pMET,164Dy_Ikba,150Nd_STAT5,147Sm_CD20,151Eu_CD123__IL-3R,154Sm_CD45,148Nd_CD34,141Pr_CD7,142Nd_CD19,145Nd_CD4,149Sm_CD25,155Gd_CD27,159Tb_CD11c,160Gd_CD14,166Er_CD16,168Er_CD8a,169Tm_CD45RA,170Er_CD3,172Yb_CD38,174Yb_HLA-DR,146Nd_IgD,157Gd_CD24,163Dy_CD33,176Yb_CD127__IL-7R
CD34+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c12_sample2_01_0_E03_D0_PERV.fcs - c12_sample2_01_0_E03_D0_PERV.fcs,3.32,1.41,2.95,1.6,1.44,47.96,488.31,12.73,42.82,36.48,75.65,3.59,0,12.26,49.74,218.69,0.28,0.04,0,0,0,5.31,0.44,0.66,0.36,1.89,1.06,342.87,16.48,1.45,0.3,0.98,0.26
CD34+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c04_sample2_01_0_E03_D1_UN.fcs - c04_sample2_01_0_E03_D1_UN.fcs,2.48,0.79,1.85,0.7,0.62,7.61,311.08,5.04,42.71,29.34,61.25,2.34,0,10.56,51.47,237.73,0.11,0,0,0,0,5.92,0.15,0.4,0.32,2,0.94,298.55,18.22,1.03,0,0.84,0.14
CD34+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c13_sample2_01_0_E03_D1_PERV.fcs - c13_sample2_01_0_E03_D1_PERV.fcs,2.92,1.36,2.76,1.05,0.93,48.09,461.79,8.73,42.38,37.89,66.11,3.2,0,11.73,53.46,231.04,0.2,0.02,0,0,0,6.56,0.27,0.53,0.31,2.09,0.89,302.25,16.76,1.12,0.23,0.96,0.15
CD34+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c05_sample2_01_0_E03_D2_UN.fcs - c05_sample2_01_0_E03_D2_UN.fcs,1.96,0.63,2.07,0.87,0.73,6.65,258.03,5.88,35.5,28.96,102.58,2.55,0,7.39,70.24,260.46,0.26,0.03,0,0,0,9.17,0.16,0.3,0.26,2.69,1.03,370.48,21.91,1.18,0,1.69,0.12
CD34+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c14_sample2_01_0_E03_D2_PERV.fcs - c14_sample2_01_0_E03_D2_PERV.fcs,2.41,1.09,3.24,1.28,1.11,40.57,425.28,13.27,35.29,36.84,104.11,3.5,0,7.9,70.65,255.25,0.39,0.09,0,0,0,9.84,0.34,0.49,0.25,2.71,0.96,375.64,19.89,1.41,0.17,1.86,0.15
CD34+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c04_sample1_01_0_E04_D0_UN.fcs - c04_sample1_01_0_E04_D0_UN.fcs,80.98,10.62,10.24,6.35,2.51,13.13,456.91,26.6,63.53,82.45,184.29,10.36,0.26,0.6,1440.58,32.97,2.66,0.05,9.52,0.42,0.52,815.73,128.65,9.37,0.5,0.76,2.85,116.53,213.47,3.25,2.71,255.57,1.09
CD34+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c13_sample1_01_0_E04_D0_PERV.fcs - c13_sample1_01_0_E04_D0_PERV.fcs,77.99,13.76,11.1,5.93,4.15,150.59,374.71,25.51,76.47,88.01,213.1,10.39,0.26,0.56,1491.1,29.94,2.93,0.09,9.77,0.43,0.91,811.77,126.87,9.55,0.56,0.7,2.71,102.68,187.51,3.23,5.03,234.57,0.97
CD34+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c05_sample1_01_0_E04_D1_UN.fcs - c05_sample1_01_0_E04_D1_UN.fcs,83.35,16.11,7.31,6.4,5.83,22.93,435.31,26.15,40.66,81.42,36.12,8.7,0.29,0.95,1516.48,33.1,3.16,0.06,16.96,0.4,0.86,625.66,190.78,8.66,0.44,1.27,7.71,135.25,476.35,2.63,2.22,210.18,1.25
CD34+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c14_sample1_01_0_E04_D1_PERV.fcs - c14_sample1_01_0_E04_D1_PERV.fcs,97.66,18.73,8.51,6.62,2.63,81.96,210.61,23.02,75.17,91.9,63.79,10.47,0.25,0.95,1509.35,30.25,3.49,0.13,17.4,0.37,1,628.65,171.87,10.17,0.66,1.22,6.69,113.75,436.24,2.65,2.59,196.87,1.23
CD34+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c06_sample1_01_0_E04_D2_UN.fcs - c06_sample1_01_0_E04_D2_UN.fcs,76.46,21.66,7.32,4.29,9.5,42.6,498.3,23.89,40.83,82.25,18.29,7.73,0.22,4.25,1487.33,27.49,3.56,0.04,10.07,0.4,1.15,483.18,184.83,9.24,0.54,1.31,5.77,206.55,649.95,2.15,2.18,142.95,1.39
CD34+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c15_sample1_01_0_E04_D2_PERV.fcs - c15_sample1_01_0_E04_D2_PERV.fcs,93.47,16.18,8.46,5.94,2.85,56.73,170.07,22.9,73.89,94.76,35.49,9.35,0.18,4.5,1701.64,27.43,4.05,0.13,13.07,0.33,1.05,549.92,183.3,14.67,0.7,1.21,5.69,182.24,654.25,2.09,3,142.23,1.28
CD34+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c06_sample2_01_0_E05_D0_UN.fcs - c06_sample2_01_0_E05_D0_UN.fcs,3.87,14.52,4.27,1.59,1.28,10.85,408.94,16.51,18.23,38.21,15.31,3.25,0.36,1.44,690.25,32.74,2.2,0.8,1.14,2.03,1.48,22.78,0.68,0.49,0.44,12.23,4.04,167.87,354.17,1.87,0.11,3.9,1.03
CD34+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c15_sample2_01_0_E05_D0_PERV.fcs - c15_sample2_01_0_E05_D0_PERV.fcs,7.68,30.23,8.52,2.51,1.87,62.55,353.38,17.25,20.58,39.13,16.6,4.6,0.24,1.39,663.02,39.94,2.52,0.96,1.54,1.47,1.65,14.6,0.93,0.39,0.37,7.19,3.66,153.21,314.48,1.81,0.4,3.19,0.86
CD34+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c07_sample2_01_0_E05_D1_UN.fcs - c07_sample2_01_0_E05_D1_UN.fcs,8.92,5.13,5.83,3.43,1.31,15.87,442.74,18.64,20.95,48.14,32.87,5.82,0.38,4.75,767.55,30.54,2.05,0.54,3.35,2.11,1.26,47.47,2.34,0.9,0.49,1.91,4.28,273.44,383.29,2.99,0.26,49.64,1.4
CD34+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c16_sample2_01_0_E05_D1_PERV.fcs - c16_sample2_01_0_E05_D1_PERV.fcs,19.74,8.97,10.47,4.42,1.79,111.13,402.89,21.46,20.82,51.97,35.51,8.84,0.33,3.46,845.07,31.44,2.45,0.77,3.75,1.82,1.94,34.47,2.62,0.74,0.45,2.14,4.04,239.1,272.41,2.9,1.11,30.02,0.99
CD34+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c08_sample2_01_0_E05_D3_UN.fcs - c08_sample2_01_0_E05_D3_UN.fcs,22.65,5.32,7.89,3.25,1.59,38.94,452.58,24.07,20.65,65.03,29.54,8.77,0.57,2.72,1182.22,20.34,2.25,0.25,8.05,1.31,1.82,355.33,155.44,0.84,0.43,1.12,3.66,305.99,251.48,3.47,0.8,237.96,1.37
CD34+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c17_sample2_01_0_E05_D3_PERV.fcs - c17_sample2_01_0_E05_D3_PERV.fcs,24.69,5.32,12.37,3.69,2.04,153.46,408.85,21.71,18.28,64.42,29.83,11.47,0.31,2.14,1128.99,20.6,2.11,0.38,8.38,1.08,2.34,301.13,135.24,0.62,0.32,1.14,2.92,283.7,140.54,2.91,1.67,191.23,0.93
CD34+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c07_sample1_01_0_E07_D0_UN.fcs - c07_sample1_01_0_E07_D0_UN.fcs,1.23,0.98,3.39,0.65,0.45,10.92,372.36,4.06,19.99,31.16,17.77,2.89,0,4.19,222.96,350.27,7.99,0.22,0.55,0.26,0,5.25,0.32,0.32,0.05,2.54,0.53,114.04,160.88,1.26,0,12.18,0.47
CD34+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c16_sample1_01_0_D07_D0_PERV.fcs - c16_sample1_01_0_D07_D0_PERV.fcs,1.74,2.56,4.75,0.95,0.62,176.21,500.99,5.59,21.18,33.47,26.37,3.88,0,5.14,239.99,384.07,9.75,0.28,0.64,0.28,0.1,5.73,0.4,0.34,0.04,2.93,0.46,111.49,173.74,1.21,0.95,12.84,0.35
CD34+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c08_sample1_01_0_E07_D1_UN.fcs - c08_sample1_01_0_E07_D1_UN.fcs,0.75,0.87,2.26,0.5,0.3,10.57,333.79,2.61,12.07,15.42,7.72,2.15,0,3.48,224.51,476.81,6.72,0.19,0.35,0.1,0,5.72,0.11,0.09,0,2.66,0.28,97.95,165.37,1.06,0,11.11,0.21
CD34+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c17_sample1_01_0_D07_D1_PERV.fcs - c17_sample1_01_0_D07_D1_PERV.fcs,1.98,3.12,3.86,1.02,0.64,176.97,502.74,4.76,17.66,30.56,11.85,3.55,0,4.74,249.78,447.16,8.7,0.26,0.65,0.14,0.08,8.02,0.36,0.35,0.01,3.47,0.42,95.64,195.49,1.21,0.93,12.4,0.29
CD34+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c01_sample3_01_0_E09_D0_UN.fcs - c01_sample3_01_0_E09_D0_UN.fcs,1.13,7.35,1.85,0.65,0.34,3.47,146.42,3.3,1.75,26.25,1.46,1.51,2.83,0.71,509.78,24.95,0.46,8.22,0,0.85,0,0.35,0,0,0,39.87,0.61,94.16,146.53,5.57,3.22,0.05,0.76
CD34+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c07_sample3_01_0_E09_D0_PERV.fcs - c07_sample3_01_0_E09_D0_PERV.fcs,1.23,2.18,6.31,0.24,0.57,11.89,167.04,2.73,2.88,17,3.33,1.59,0,0.67,200.23,34.21,1.05,0.44,0.37,0,0.06,0.48,0.2,0,0,7.8,0.82,34.96,45.42,1.26,0.35,0.25,0.64
CD34+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c02_sample3_01_0_E09_D1_UN.fcs - c02_sample3_01_0_E09_D1_UN.fcs,1.14,2.32,1.95,1.05,1.1,2.2,29.15,3.56,1.9,23.73,1.06,2.63,0.47,1.41,348.34,30.41,2.27,3.2,1.24,0.24,0.42,6.06,1.5,0.18,0.53,3.04,1.96,40.26,37.49,3.56,17,1.07,4.71
CD34+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c08_sample3_01_0_E09_D1_PERV.fcs - c08_sample3_01_0_E09_D1_PERV.fcs,1.66,6.28,5.83,5.44,13.01,7.21,62.2,7.93,4.54,41.3,0.98,12.48,2.49,3.34,432.84,30.46,6.66,10.87,1.84,0.58,0.75,45.83,10.4,2.53,4.56,4.78,3.33,57.06,41.34,14.37,71.33,6.53,179.98
CD34+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c03_sample3_01_0_E09_D2_UN.fcs - c03_sample3_01_0_E09_D2_UN.fcs,0.86,0,0.73,4.36,0.04,3.91,14.24,2.47,4.29,13.97,2.28,0.96,0,0.29,137.32,24.85,5.39,0.38,0.08,0.43,1.97,12.07,0.65,0,0.47,12,0.53,37.54,6.49,0.56,0.54,0.64,2.48
CD34+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c09_sample3_01_0_E09_D2_PERV.fcs - c09_sample3_01_0_E09_D2_PERV.fcs,0,0.58,25.06,0,0,2.13,14.16,1.69,2.62,16.04,3.28,1.64,0,0,112.69,26.28,9.38,0.02,4.29,0.75,1.49,4.1,1.15,0.56,0.52,8.97,27.83,23.55,5.63,0.01,0,1.23,4.8
CD34+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c01_sample2_01_0_E12_D0_UN.fcs - c01_sample2_01_0_E12_D0_UN.fcs,0.22,15.85,1.85,0.17,0.85,14.88,546.89,6.9,14.26,27.91,25.57,1.99,0,6.19,396.33,290.46,1.39,0.09,0.12,0.62,0.12,1.52,0.09,0.27,0.14,22.78,1.44,12.3,26.49,1.38,0,2.26,0.58
CD34+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c10_sample2_01_0_E12_D0_PERV.fcs - c10_sample2_01_0_E12_D0_PERV.fcs,0.58,40.42,4.9,0.67,2.13,121,570.22,11.12,14.16,34.64,24.96,4.27,0,5.49,411.22,304.48,2.04,0.59,0.24,0.6,0.62,1.51,0.5,0.37,0.26,22.07,1.61,13.93,23.93,2.04,0.65,1.69,0.75
CD34+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c02_sample2_01_0_E12_D1_UN.fcs - c02_sample2_01_0_E12_D1_UN.fcs,0,21.01,1.69,0.13,0.87,22.29,563.64,5.95,11.6,21.86,14.59,1.6,0,6.18,365.41,328.32,1.31,0.09,0,0.31,0.15,1.21,0.02,0.21,0.13,19.57,1.38,11.51,29.23,1.13,0.02,2.16,0.68
CD34+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c11_sample2_01_0_E12_D1_PERV.fcs - c11_sample2_01_0_E12_D1_PERV.fcs,0.14,36.71,3.1,0.56,1.83,119.46,581.43,8.03,10.78,22.06,13.09,2.61,0,4.77,355.25,330.35,1.81,0.25,0.09,0.3,0.32,0.92,0.27,0.16,0.07,16.03,1.37,10.93,26.7,1.1,0.45,1.26,0.58
CD34+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c04_sample3_01_0_E13_D0_UN.fcs - c04_sample3_01_0_E13_D0_UN.fcs,0,0.67,0,0,0.05,8.03,270.66,1.22,2.96,10.28,2.55,0.53,0,31.65,224.26,138.19,0,0,0,8.84,0,3.84,0,0,0,15.17,0,49.61,64.05,0,0,0,0
CD34+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c10_sample3_01_0_E13_D0_PERV.fcs - c10_sample3_01_0_E13_D0_PERV.fcs,0.02,1.07,1.44,0,0.24,33.32,195.24,1.87,2.12,10.89,2.82,1.25,0,19.26,206.82,110.63,0,0,0.5,10.95,0,3.11,0,0,0,13.27,0,37.32,45.37,0,0,0,0
CD34+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c05_sample3_01_0_E13_D1_UN.fcs - c05_sample3_01_0_E13_D1_UN.fcs,0.06,0.15,0.28,0.18,0,2.66,227.56,1.36,3.73,8.58,12.76,0.58,0,22.95,216.32,127.61,0,0,0.24,6.52,0,3.34,0,0,0,12.46,0,46.26,45.45,0,0,0,0
CD34+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c11_sample3_01_0_E13_D1_PERV-(1).fcs - c11_sample3_01_0_E13_D1_PERV.fcs,0.25,0.56,1.04,0.13,0.17,66.05,243.49,1.8,1.65,9.4,8.49,1.01,0,18.4,219,130.99,0,0,0.26,10.26,0,2.47,0,0,0,12.22,0,46.72,46.69,0,0,0,0
CD34+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c11_sample3_01_0_E13_D1_PERV.fcs - c11_sample3_01_0_E13_D1_PERV.fcs,0.22,0.4,2.28,0.1,0.22,62.83,220.63,1.9,1.49,10.34,6.31,1.56,0,13.88,218.36,111.27,0,0,0.46,8.71,0,2.77,0,0,0,13.5,0,48.29,47.47,0,0,0,0
CD33+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c09_sample1_01_0_HIMC1_UN.fcs - c09_sample1_01_0_HIMC1_UN.fcs,14.34,2.13,4.49,0.85,0.58,10.89,361.4,13.93,19.79,33.12,28.47,4.29,0.01,0.62,1132.08,1.13,1.89,0,6.56,0.1,0.38,421.69,158.23,0.41,0.09,1.86,2.05,148.12,424.29,0.7,0.25,153.38,0.83
CD33+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c18_sample1_01_0_HIMC1_PERV.fcs - c18_sample1_01_0_HIMC1_PERV.fcs,12.01,2.51,21.91,1.73,0.94,228.68,486.84,15.39,19.28,40.91,32.77,8.36,0,0.44,1096.48,1,2.21,0,8.22,0.02,0.74,388.37,146.34,0.44,0.07,1.43,1.68,134.81,287.74,1,1.37,136.07,0.43
CD33+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c09_sample2_01_0_HIMC2_UN.fcs - c09_sample2_01_0_HIMC2_UN.fcs,17.14,2.71,4.4,1.04,0.76,13.25,366.8,16.72,18.69,33.76,35.77,4.91,0,0.92,972.03,4.75,0.94,0,7.39,0.24,0.88,409.75,151.21,0.31,0.15,2,3.29,151.03,430.79,1.03,0.19,142.69,1.05
CD33+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c18_sample2_01_0_HIMC2_PERV.fcs - c18_sample2_01_0_HIMC2_PERV.fcs,14.75,3.09,23.94,2.23,1.21,231.76,479.93,18.48,16.6,42.1,38.91,10.07,0,0.73,939.43,4.27,1.16,0,9.4,0.18,1.42,374.85,138.2,0.34,0.09,1.42,2.48,138.62,307.49,1.46,1.7,126.41,0.54
CD33+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c06_sample3_01_0_HIMC3_UN.fcs - c06_sample3_01_0_HIMC3_UN.fcs,16.04,0.96,1.58,0.39,0.22,7.87,250.92,8.01,11.56,39.83,13.1,2.34,0,0.2,979.65,0.41,0,0,3.88,0,0,353.18,122.1,0,0,0.54,1.01,121.47,360.35,0.23,0.06,98.52,0.79
CD33+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c12_sample3_01_0_HIMC3_PERV.fcs - c12_sample3_01_0_HIMC3_PERV.fcs,15.17,1.09,11.11,1.23,0.62,186.82,322.36,9.6,14.08,50.53,14.94,5.2,0,0.16,954.29,0.4,0,0,5.72,0,0.32,339.27,123.07,0,0,0.36,0.81,112.92,267.17,0.59,1.14,88.96,0.43
CD33+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c01_sample1_01_0_E01_D0_UN.fcs - c01_sample1_01_0_E01_D0_UN.fcs,18.05,5.05,10.32,3.25,1.25,22.08,496.57,20.73,19.68,62.54,28.71,9.36,0.14,0.91,1313.73,1.68,3.05,0,8.1,0.4,0.5,814.38,113.81,2.2,0.07,296.9,1.24,240.68,511.64,1.6,0.66,336.07,0.83
CD33+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c10_sample1_01_0_E01_D0_PERV.fcs - c10_sample1_01_0_E01_D0_PERV.fcs,24.73,3.89,17.63,3.58,1.76,139.45,398.32,19.97,22.82,71.43,38.63,11.75,0.12,0.91,1350.43,1.77,3.67,0.01,11.68,0.38,0.8,810.86,111,2.41,0.08,300.83,1.15,222.5,447.56,1.98,1.35,322.83,0.63
CD33+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c02_sample1_01_0_E01_D1_UN.fcs - c02_sample1_01_0_E01_D1_UN.fcs,8.97,7.96,6,1.78,1.28,38.85,520.64,17.99,14.17,50.29,14.81,5.25,0,0.6,1053.64,1.15,2.3,0,4.31,0.25,0.47,747.43,73.11,0.96,0.02,223.21,1.27,231.97,365.8,1.16,0.77,290.41,0.7
CD33+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c11_sample1_01_0_E01_D1_PERV.fcs - c11_sample1_01_0_E01_D1_PERV.fcs,16,7.53,27.55,3.39,2.45,144.32,450.79,18.92,16.91,68.89,20.05,12.66,0.03,0.64,1125.71,1.53,3.85,0.14,9.24,0.29,0.79,738.79,75.67,1.17,0.02,249.32,1.23,214.35,331.64,2.18,1.51,271.66,0.52
CD33+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c03_sample1_01_0_E01_D2_UN.fcs - c03_sample1_01_0_E01_D2_UN.fcs,4.11,1.61,5.27,1.3,0.8,11.5,362.93,9.6,10.41,35.28,14.14,4.12,0,0.1,880.64,1.24,3.1,0,1.57,0.76,0.6,483.3,14.87,0.44,0.24,199.21,0.91,273.87,182.68,0.69,0.75,199.83,0.68
CD33+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c12_sample1_01_0_E01_D2_PERV.fcs - c12_sample1_01_0_E01_D2_PERV.fcs,11.68,3.85,24.91,2.4,2.84,137.99,410.13,16.06,12.59,54.58,15.25,11.3,0,0.13,900.72,1.29,3.43,0,3.97,0.67,0.91,499.75,20.33,0.53,0.2,200.88,0.82,256.24,143.63,1.22,1.63,202.47,0.48
CD33+ - Calculated Raw values of Medians using X-Axis channel(s): Panel/Channel Values,c03_sample2_01_0_E03_D0_UN.fcs - c03_sample2_01_0_E03_D0_UN.fcs,8.65,0.72,2.16,1.41,0.96,6.91,245.08,7.77,53.96,38.65,89.71,2.98,0,19.01,98.34,145.46,0.33,0,0.16,0,0,39.06,0.72,0.64,0.61,6.74,1.8,469.34,21.71,1.56,0,14.23,0.44
